symbol,company_name,sector,industry,date,actual_price,predicted_naive,predicted_moving_average_30d,predicted_drift,predicted_recent_linear_trend_252d,predicted_recent_momentum_10d,predicted_adaptive_blended_momentum
A,A,Healthcare,Diagnostics & Research,2026-01-15,144.8300018310547,145.9199981689453,142.25266723632814,145.96753832525573,137.86244877850405,146.77704611291972,146.29859760068544
A,A,Healthcare,Diagnostics & Research,2026-01-16,139.63999938964844,144.8300018310547,142.12000071207683,144.875469514947,138.25532264663636,145.7364374665535,145.22577655837256
A,A,Healthcare,Diagnostics & Research,2026-01-20,135.8300018310547,139.63999938964844,141.79933420817056,139.67605984956677,138.55604510523523,139.81013418951974,139.4516510892024
A,A,Healthcare,Diagnostics & Research,2026-01-21,139.77000427246094,135.8300018310547,141.38300069173178,135.85934801988216,138.8165352426384,135.13969675355685,135.18141267111898
A,A,Healthcare,Diagnostics & Research,2026-01-22,138.6300048828125,139.77000427246094,141.192333984375,139.80618563741294,139.16161119768282,139.01022258719678,139.30011312109843
A,A,Healthcare,Diagnostics & Research,2026-01-23,135.0500030517578,138.6300048828125,141.0653340657552,138.66412681363184,139.53115537509908,137.74396540740716,138.06179193878742
A,A,Healthcare,Diagnostics & Research,2026-01-26,135.64999389648438,135.0500030517578,140.87900085449218,135.07787927568626,139.84543738777992,134.0232742815315,134.29077047334948
A,A,Healthcare,Diagnostics & Research,2026-01-27,135.9499969482422,135.64999389648438,140.6183339436849,135.67885499498962,140.16970305592693,134.4259954232394,134.9833010880171
A,A,Healthcare,Diagnostics & Research,2026-01-28,133.8699951171875,135.9499969482422,140.38766733805338,135.97932887862817,140.49221266691825,134.8012389406963,135.43843542865557
A,A,Healthcare,Diagnostics & Research,2026-01-29,133.27000427246094,133.8699951171875,140.19400075276693,133.89574457050423,140.77932071535014,132.6848081666049,133.14141568583085
A,A,Healthcare,Diagnostics & Research,2026-01-30,133.85000610351562,133.27000427246094,139.94966735839844,133.2947049955089,141.05354670456623,132.06695700779272,132.5483856992935
A,A,Healthcare,Diagnostics & Research,2026-02-02,135.38999938964844,133.85000610351562,139.77166748046875,133.87564501424106,141.31249636719633,132.79887050557724,133.32759144381842
A,A,Healthcare,Diagnostics & Research,2026-02-03,132.13999938964844,135.38999938964844,139.72933400472004,135.41820331770214,141.63160092677026,134.97217957943238,135.18734839229495
A,A,Healthcare,Diagnostics & Research,2026-02-04,132.97999572753906,132.13999938964844,139.57066752115887,132.16270662352264,141.9017593616825,131.77655807836973,131.7830670748402
A,A,Healthcare,Diagnostics & Research,2026-02-05,129.63999938964844,132.97999572753906,139.428667195638,133.0040656672382,142.16387878854135,132.319407730183,132.54888733487658
A,A,Healthcare,Diagnostics & Research,2026-02-06,129.5800018310547,129.63999938964844,139.1326670328776,129.658536441499,142.36169697339312,128.77370718184787,128.95184457191422
A,A,Healthcare,Diagnostics & Research,2026-02-09,127.5,129.5800018310547,138.84000040690105,129.5984139750268,142.5678432524668,129.04533818128579,129.00168917687634
A,A,Healthcare,Diagnostics & Research,2026-02-10,129.0,127.5,138.47933349609374,127.51503729909813,142.73990895042073,126.71243169422301,126.71230934212026
A,A,Healthcare,Diagnostics & Research,2026-02-11,128.89999389648438,129.0,138.1663335164388,129.01742065568243,142.91817846354317,128.32484876758667,128.3847294607293
A,A,Healthcare,Diagnostics & Research,2026-02-12,124.87999725341795,128.89999389648438,137.8653335571289,128.91722790672824,143.08419052618083,128.41325711964325,128.33809193763852
A,A,Healthcare,Diagnostics & Research,2026-02-13,125.80999755859376,124.87999725341795,137.44066696166993,124.89084138334145,143.17221520788829,124.07061283472444,124.13403071020039
A,A,Healthcare,Diagnostics & Research,2026-02-17,123.87000274658205,125.80999755859376,137.0986666361491,125.82227923366098,143.24712696436092,125.03305129308016,125.11835554347878
A,A,Healthcare,Diagnostics & Research,2026-02-18,126.94000244140624,123.87000274658205,136.62933349609375,123.8792503703767,143.27931790179085,122.77334918924397,123.05022950943038
A,A,Healthcare,Diagnostics & Research,2026-02-19,126.33999633789062,126.94000244140624,136.0963338216146,126.95402257695028,143.34713649176814,126.43139287435308,126.49397388823643
A,A,Healthcare,Diagnostics & Research,2026-02-20,122.9000015258789,126.33999633789062,135.38766682942708,126.35305327279615,143.41042104687415,125.6945115112928,125.86200909715808
A,A,Healthcare,Diagnostics & Research,2026-02-23,124.1999969482422,122.9000015258789,134.55733362833658,122.90772382953084,143.43560409787136,122.24558271968273,122.3505356850722
A,A,Healthcare,Diagnostics & Research,2026-02-24,124.4000015258789,124.1999969482422,133.83866704305012,124.20969748267296,143.47988243515545,123.67443799633311,123.74021617725069
A,A,Healthcare,Diagnostics & Research,2026-02-25,124.72000122070312,124.4000015258789,133.0346669514974,124.40999532703601,143.51712519260255,124.09417775644926,124.13234987777017
A,A,Healthcare,Diagnostics & Research,2026-02-26,120.97000122070312,124.72000122070312,132.25900014241537,124.73047257406239,143.55976511560175,124.29989049646473,124.31256110393619
